author,Submission_date,slug,country_name,country_code,type_of_target_class,type_of_target_details,temp_target_class,temp_target_details,costs_of_ccm_class,costs_of_ccm_details,renewable_energy_class,renewable_energy_details,energy_efficiency_class,energy_efficiency_details,transport_class,transport_details,carbon_capture_and_storage_class,carbon_capture_and_storage_details,agriculture_class,agriculture_details,land_use_and_forestry_class,land_use_and_forestry_details,waste_class,waste_details,reducing_non_co2_gases_class,reducing_non_co2_gases_details,fossil_fuel_production_class,fossil_fuel_production_details,fossil_fuel_subsidiaries_class,fossil_fuel_subsidiaries_details,land_use_change_class,land_use_change_details,redd_class,redd_details,trade_class,trade_details,market_mechanisms_class,market_mechanisms_details,mitigation_documents_class,mitigation_documents_details,co_benefits_ccm_class,co_benefits_ccm_details
,,,Libya,LBY,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted
,,,Liechtenstein,LIE,2,Absolute target: 40% GHG emissions reduction compared to 1990 by 2030,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,Energy Policy; Transport Policy; Environmental Policy; Agricultural and Forestry Policy; CO2 Act; European Union Energy and Climate Policies,3,"Other co-benefits: social, health and environmental benefits"
,,,Republic of North Macedonia,MKD,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,3,"4,942 billion US$ (higher ambition mitigation scenario)",2,"Considered (Hydro, Solar, Wind, Biogas, Biomass, Biofuels, Geothermal)",2,Considered (buildings),2,"Considered (Railways, not motorized means of transportation)",1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),2,Considered: promotion of biofuels,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (standards and labelling),3,Use/intention to use market mechanisms,3,European Union Climate and Energy Policy; Rulebook on Energy Performance of Buildings and Directive; National Sustainable Development Strategy - Climate Change and Clean Energy; Energy Strategy; Energy Efficiency Strategy; Strategy on Renewable Energy Sources; Transport Sector Strategy; Pre-accession Economic Program; Program of the Government of Macedonia,3,Other co-benefits: job creation (up to 6000 green jobs)
,,,Madagascar,MDG,1,Business as usual (Adaptation with mitigation co-benefits),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,4,"6,37 billion US$",2,"Considered: increase RE share to 90% (Solar power, hydropower)",2,Considered,1,Not indicated,1,Not indicated,2,"Considered: climate-smart
 agriculture",2,"Considered: reforestation, sustainable management of forests",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,5,"Baseline quantified, mitigation quantified",3,REDD+ specified: technical capacity,1,International trade/trade measures not mentioned,2,Market mechanisms explicitly excluded,4,National climate change plan; Nationally Appropriate Mitigation Actions (NAMA),1,No co-benefits of mitigation mentioned
,,,Malawi,MWI,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,"Focus area (Solar power, hydropower)",2,Considered,2,Considered,2,Considered,2,Considered,2,"Considered: afforestation, sustainable management of forests, forest protection",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation,1,International trade/trade measures not mentioned,1,Not mentioned,3,National Climate Change Management Policy; REDD+ Programme Action Plan; National Environment and Climate Change Communication Strategy; Climate Change Learning Strategy; National Climate Change Investment Plan,2,Adaptation co-benefit: climate-resilient agronomic practices
,,,Malaysia,MYS,3,Intensity target,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,2,Market mechanisms explicitly excluded,3,National Policy on Climate Change (2009);  Low Carbon Cities Framework (2011); Renewable Energy Policy and Action Plan (2010); National Biofuel Policy (2006),1,No co-benefits of mitigation mentioned
,,,Maldives,MDV,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area,3,"Focus area (Domestic consumption and processes, product use)",2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,2,Considered,2,Considered (CH4),1,Not applicable (no fossil fuel production),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,2,International trade/trade measures mentioned,1,Not mentioned,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Mali,MLI,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,6,"34,68 billion US$",3,"Focus area: increase RE share to 10% by 2020 (Solar power, wind power, biomass, hydropower)",3,Focus area,2,Considered,1,Not indicated,2,Considered: sustainable agriculture management,3,"Focus area: afforestation, carbon sequestration and conservation",1,Not indicated,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,5,"Baseline quantified, mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,2011 National Policy on Climate Change; Renewable Energy Development Strategy; National strategy for the development of biofuels,1,No co-benefits of mitigation mentioned
,,,Marshall Islands,MHL,2,"Absolute target (Adaptation with mitigation co-benefits): 32% GHG emissions reduction compared to 2010 by 2025, 45% by 2030",1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,"Focus area (Solar power, wind power)",3,Focus area,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,2,Market mechanisms explicitly excluded,3,National Energy Plan; National Climate Change Policy; National Climate Change Roadmap 2008; proposed National Energy Policy 2014; Micronesian Energy Initiative; Regional Framework for Action on Energy Security in the Pacific (FAESP); Sustainable Energy for All Initiative (UN); National Strategic Development Plan: Vision 2018,1,No co-benefits of mitigation mentioned
,,,Mauritania,MRT,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,4,"9,3 billion US$",2,Considered,2,Considered,2,Considered,1,Not indicated,2,Considered: sustainable agriculture management,2,Considered,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (regulating imports of vehicles),3,Use/intention to use market mechanisms,3,National Strategy for Sustainable Development; Second Action Plan on National Environment and Sustainable Development (NAPE II),1,No co-benefits of mitigation mentioned
,,,Mauritius,MUS,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,"1,5 billion US$",3,"Focus area (Solar power, wind power, biomass)",2,Considered,2,Considered,1,Not indicated,2,Considered: climate-smart agriculture,2,Considered: sustainable management of forests and conservation,2,Considered,2,Considered (SLFC),1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,Climate Change Action Plan,1,No co-benefits of mitigation mentioned
,,,Mexico,MEX,1,Business as usual (Peaking target),2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3, black carbon)",4,Action related to fossil fuel production (Cleaner production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (carbon border adjustments),5,Market mechanisms to meet part of NDC target,3,National Strategy on Climate Change; Special Program on Climate Change; General Law on Climate Change; Carbon Tax; National Emissions and Emissions Reduction Registry,4,"Both adaptation and other co-benefits: health, well-being of population, inclusive green growth"
,,,Micronesia,FSM,2,"Absolute target: 28% GHG emissions reduction compared to 2000 by 2025, 35% by 2025 (conditional)",3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,3,Focus area,2,Considered,3,Focus area,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,1,International trade/trade measures not mentioned,2,Market mechanisms explicitly excluded,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Republic of Moldova,MDA,2,"Absolute target: (64-67)% GHG emissions reduction compared to 1990 by 2030, 78% by 2030 (conditional)",1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,"4,9 billion US$",3,Focus area: increase RE share to 20% by 2020,3,Focus area,3,Focus area,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",2,Producer; no mention of fossil fuel production,1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,Environmental Protection Strategy for the years 2014-2023 and Action Plan,1,No co-benefits of mitigation mentioned
,,,Monaco,MCO,2,Absolute target: 50% GHG emissions reduction compared to 1990 by 2030,4,NDC claims to be consistent with 2°C limit,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",1,Not applicable (no fossil fuel production),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Mongolia,MNG,1,Business as usual (Adaptation with mitigation co-benefits),2,Mentioning global effort to limit global temperature increase to 2°C,3,"3,5 billion US$",2,Considered: increase RE share to 30% by 2030,2,Considered (Buildings),2,Considered,1,Not indicated,2,Considered: livestock sector,1,Not indicated (indication of future consideration,2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,4,"NAMA; Green Development Policy; National Action Programme on Climate Change (NAPCC), 2011; State policy on energy, 2015 (2015-2030); Law on renewable energy, 2015; Law on energy, 2015",3,Other co-benefits: improved air quality
,,,Montenegro,MNE,2,Absolute target: 30% GHG emissions reduction compared to 1990 by 2030,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area,3,Focus area,1,Not indicated,1,Not indicated,2,Considered,1,Not indicated (indication of future consideration,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,5,Market mechanisms to meet part of NDC target,3,National Climate Change Strategy; Energy Development Strategy; European Union Climate and Energy Legislation,1,No co-benefits of mitigation mentioned
,,,Morocco,MAR,1,Business as usual,3,Mentioning global effort to limit global temperature increase to 1.5°C (and 2°C),6,50 billion US$,3,Focus area: increase RE share to 52% by 2030,3,Focus area: reduce energy consumption by 15% by 2030,2,Considered,1,Not indicated,2,Considered: sustainable agriculture,2,"Considered: afforestation, reforestation",2,Considered,2,"Considered CH4, N2O",2,Producer; no mention of fossil fuel production,2,Considered,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation,5,Market mechanisms to meet part of NDC target,3,National Charter for Environment and Sustainable Development (NCESD); National Strategy for Sustainable Development (NSSD); Morocco Green Plan; National Energy Strategy; National Strategy to Combat Global Warming…,1,No co-benefits of mitigation mentioned
,,,Mozambique,MOZ,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,National Climate Change Adaptation and Mitigation Strategy; New and Renewable Energy Development Strategy,1,No co-benefits of mitigation mentioned
,,,Myanmar,MMR,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered: increase hydropower share to 9.4 GW by 2030.,2,"Considered: save 20% energy by 2030 (industry, efficient cooking stoves and energy management systems)",2,Considered (Efficient road transportation),1,Not indicated,2,Considered,2,"Considered: reforestation, reducing deforestation",1,Not indicated,1,Not indicated,2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; institutional infrastructure; technical capacity; source of finance; land tenure or forest governance,3,International trade/trade measures to foster mitigation (regulating timber trade),5,Market mechanisms to meet part of NDC target,3,"Long Term Energy Master Plan; National Electrification Master Plan; National Energy Efficiency and Conservation Policy, Strategy and Roadmap for Myanmar",3,Other co-benefits: development; reduce soil erosion/reduce flood risk
,,,Namibia,NAM,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,5,"10,4 billion US$",2,Considered: increase RE share to 70% by 2030,2,Considered,2,Considered (Efficient road transportation),1,Not indicated,2,Considered,2,"Considered: afforestation, revegetation, sustainable management of forests, reduction of deforestation",2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,5,"Baseline quantified, mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (regulating imports of electric appliances),5,Market mechanisms to meet part of NDC target,3,National Policy on Climate Change; National Climate Change Strategy; National Climate Change Action Plan,3,Other co-benefits: cleaner environment; better sanitation (with fewer risks for health problems); irrigation water
,,,Nauru,NRU,5,Policies and Actions (Adaptation with mitigation co-benefits),3,Mentioning global effort to limit global temperature increase to 1.5°C,2,"0,055 billion US$",3,Focus area (Solar power),2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,2,International trade/trade measures mentioned,1,Not mentioned,3,National Sustainable Development Strategy (NSDS); Nauru Energy Road Map 2014-2020; Nauru’s Utility Sector-A Strategy for Reform; Nauru Utilities Cooperation Act,1,No co-benefits of mitigation mentioned
,,,Nepal,NPL,5,Policies and Actions,3,Mentioning global effort to limit global temperature increase to 1.5°C (and 2°C),1,no (partial) costs mentioned,3,Focus area: increase RE share by 20% by 2020,2,Considered,2,Considered,1,Not indicated,2,Considered,2,"Considered: afforestation, reforestation",2,Considered,1,Not indicated,2,Producer; no mention of fossil fuel production,1,Not indicated,3,"No baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation; institutional infrastructure; source of finance; land tenure or forest governance,1,International trade/trade measures not mentioned,5,Market mechanisms to meet part of NDC target,3,Climate Change Policy (2011) ; Forestry Sector Strategy (2016-2025); Vehicle and Transport Policy (2014),2,Adaptation co-benefit: no examples given
,,,New Zealand,NZL,2,Absolute: 30% GHG emissions reduction compared to 2005 by 2030,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered: sustainable management of forests,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",2,Producer; no mention of fossil fuel production,1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,5,Market mechanisms to meet part of NDC target,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Nicaragua,NIC,5,"Policies and Actions: renewable energy, land use and land use change",2,Mentioning global effort to limit global temperature increase to 2°C,1,(partial) costs not indicated,3,"Focus area: increase RE share of electricity production to 60% by 2030 through solar, geothermal, natural gas and wind",2,Considered,2,Considered,1,Not indicated,3,Focus area,3,Focus area,2,Considered,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,2,"Not quantified, no mitigation target",3,REDD+ specified: strategies for implementation; institutional infrastructure; source of finance indicated,1,International trade/trade measures not mentioned,1,Market mechanisms not mentioned,3,Reference to domestic plans and strategies: National Environmental Strategy and Climate Change in 2010; National Energy Efficiency Policy; Reforestation Master Plan,1,No co-benefits of mitigation mentioned
,,,Niger,NER,1,Business as usual,2,Mentioning global effort to limit global temperature increase to 2°C,4,"7,06 billion US$",2,Considered: increase RE share to 30% by 2030 (Solar power),2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O)",2,Producer; no mention of fossil fuel production,1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,National Policy on Climate Change; National Strategy and Plan of Action for Climate Change and Variability,4,Both adaptation and other co-benefits: e.g. recovery of degraded land; food security; job creation; reduction rural exodus
,,,Nigeria,NGA,1,Business as usual (Peaking target),3,Mentioning global effort to limit global temperature increase to 1.5°C,1,no (partial) costs mentioned,3,Focus area (Solar power),3,Focus area,2,Considered,1,Not indicated,2,Considered: climate-smart agriculture,2,"Considered: sustainable management, conservation of forests, stop deforestation",1,Not indicated,2,"Considered (CH4, N2O)",4,Action related to fossil fuel production (Subsidy removal; Cleaner production),1,Not indicated,3,"No baseline quantified, mitigation quantified",1,REDD+ not mentioned,3,International trade/trade measures to foster mitigation (regulating imports of vehicles/ electric appliances),3,Use/intention to use market mechanisms,3,Climate Change Policy Response and Strategy,1,No co-benefits of mitigation mentioned
,,,Niue,NIU,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,2,"0,01047 billion US$",3,Focus area: increase RE share to 80% by 2025,2,Considered,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,"International trade/trade measures to foster mitigation (standards and labelling, lowering trade barriers )",1,Not mentioned,3,National Climate Change Policy (2009); Niue Strategic Energy Road Map (NiSERM) 2015-2025,1,No co-benefits of mitigation mentioned
,,,Norway,NOR,2,Absolute target: 40% GHG emissions reduction compared to 1990 by 2030,2,Mentioning global effort to limit global temperature increase to 2°C,1,no (partial) costs mentioned,3,Focus area,2,Considered,3,Focus area,3,Focus area,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3)",2,Producer; no mention of fossil fuel production,1,Not indicated,4,"Baseline quantified, no mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,2,Market mechanisms explicitly excluded,3,Emission Reduction Target White Paper; Agreement on Climate Policy,1,No co-benefits of mitigation mentioned
,,,Oman,OMN,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area,3,Focus area,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs)",0,Not submitted,1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,1,No reference to existing mitigation plans or strategies,1,No co-benefits of mitigation mentioned
,,,Pakistan,PAK,4,Peaking target (beyond 2030),3,Mentioning global effort to limit global temperature increase to 1.5°C (and 2°C),6,40 billion US$,2,Considered,2,Considered,1,Not indicated,1,Not indicated,3,Focus area,3,Focus area,3,Focus area,1,Not indicated,4,Action related to fossil fuel production (Continued production),1,Not indicated,5,"Baseline quantified, mitigation quantified",1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,3,Vision 2025; National Climate Change Policy; ramework for Implementation of the Climate Change Policy; Pakistan Climate Change Act; Energy policy (2013),1,No co-benefits of mitigation mentioned
,,,Palau ,PLW,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,Focus area: increase RE share to 45% by 2025,3,Focus area: increase EE by 35%,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,2,Considered,2,Considered (CH4),1,Not applicable (no fossil fuel production),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,1,International trade/trade measures not mentioned,1,Not mentioned,4,National Appropriate Mitigation Actions (NAMA); National Solid Waste Framework; Palau Climate Change Policy; Palau’s National Master Development Plan – Palau 2020,1,No co-benefits of mitigation mentioned
,,,Palestine,PSE,1,Business as usual (-12.8% by 2040; -24.4% by 2040 when Palestine under 'independence' scenario),2,Mentioning global effort to limit global temperature increase to 2°C,5,"10,6 billion US$",3,"Focus area: incrase RE share to 20%-33% through solar PV


",2,Considered: energy efficient buildings and lighting,2,Considered: promote hybrid electric and LPG vehicles; encourage use of public transport (25% shift from private vehicle to public bus by 2030); improve efficiency of road vehicles; multi-modal transport patterns; reduce traffic jams,1,Not indicated,3,Focus area,3,Focus area: afforestation (200 ha per annum),3,Focus area (use of waste for electricity generation; methane reduction from landfills),2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms (does not rule out the use of market mechanisms),2,Initial National Communication Report (INCR),3,Other co-benefits
,,,Panama,PAN,5,Policies and Actions,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,3,"4,457 billion US$",3,Focus area: increase RE capacity by 30%,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,3,"Focus area: afforestation, reforestation",1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,5,"Baseline quantified, mitigation quantified",3,REDD+ specified: strategies for implementation; institutional infrastructure; source of finance indicated,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,4,National Policy on Climate Change; 11 NAMAs (e.g. Urban mobility),3,Other co-benefits: REDD+ has development benefits
,,,Papua New Guinea,PNG,5,Policies and Actions,3,Mentioning global effort to limit global temperature increase to 1.5°C (and 2°C),1,no (partial) costs mentioned,2,Considered: increase RE share to 100% by 2030 (Solar power),2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered: afforestation,1,Not indicated,1,Not indicated,1,Not applicable (no fossil fuel production),1,Not indicated,4,"Baseline quantified, no mitigation quantified",3,REDD+ specified: strategies for implementation; institutional infrastructure; technical capacity; source of finance indicated,2,International trade/trade measures mentioned,1,Not mentioned,3,"Climate Change Act; proposed REDD+ Stategy; ""various national development plans""; PNG Vision 2050",1,No co-benefits of mitigation mentioned
,,,Paraguay,PRY,1,Business as usual,1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,Considered: increase RE share to 60% by 2030,2,Considered,2,Considered,1,Not indicated,2,Considered: sustainable agriculture management,2,"Considered: afforestation, reforestation",2,Considered,2,"Considered (CH4, N2O, HFCs, PFCs, SF6, NF3, SLFC)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,National Climate Change Plan; Mitigation strategy,1,No co-benefits of mitigation mentioned
,,,Peru,PER,1,Business as usual,3,Mentioning global effort to limit global temperature increase to 1.5°C (and 2°C),1,no (partial) costs mentioned,2,Considered,2,Considered,1,Not indicated,1,Not indicated,2,Considered,2,Considered,2,Considered,2,"Considered (CH4, N2O)",3,Contextualises fossil fuel production (Background information),1,Not indicated,4,"Baseline quantified, no mitigation quantified",2,REDD+ mentioned,1,International trade/trade measures not mentioned,3,Use/intention to use market mechanisms,3,National climate change strategy; Adaptation and Mitigation Plan; Regional climate chane strategies;  Integral Plan of mitigation and adaptation to the effects of climate change on public health,3,Other co-benefits: socio-economic and environmental benefits
,,,Philippines,PHL,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted
,,,Qatar,QAT,5,Policies and Actions (Adaptation with mitigation co-benefits),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,2,"Considered (Solar power, wind power)",3,Focus area,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,5,Contextualises (Response measures); and action related to fossil fuel production (Shift to natural gas; Economic diversification),1,Not indicated,1,LULUCF not mentioned,1,REDD+ not mentioned,2,International trade/trade measures mentioned,2,Market mechanisms explicitly excluded,3,Qatar National Vision 2030,3,Other co-benefits: economic diversification
,,,Russian Federation,RUS,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,Not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted,0,not submitted
,,,Rwanda,RWA,5,Policies and Actions (Adaptation with mitigation co-benefits),1,Not mentioning global effort to limit global temperature increase to 2°C or 1.5°C,1,no (partial) costs mentioned,3,"Focus area (Solar power, hydropower)",3,Focus area: reduce grid losses to 7.8% by 2030,2,Considered,1,Not indicated,3,Focus area,2,Considered,2,Considered,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",3,"REDD+ specified: source of finance indicated,",2,International trade/trade measures mentioned,3,Use/intention to use market mechanisms,3,Green Growth and Climate Resilience Strategy; National Strategy for Climate Change; Low Carbon Development Strategy,1,No co-benefits of mitigation mentioned
,,,Saint Lucia,LCA,1,Business as usual,5,NDC claims to be consistent with 1.5°C limit,2,"0,241 billion US$",3,"Focus area: increase RE share to 35% by 2025 and to 50% by 2050 (Solar-, wind- and geothermal energy)",3,Focus area,2,Considered,1,Not indicated,1,Not indicated,1,Not indicated,1,Not indicated,2,"Considered (CH4, N2O)",1,Not applicable (no fossil fuel production),1,Not indicated,2,"No baseline quantified, no mitigation quantified",1,REDD+ not mentioned,3,"International trade/trade measures to foster mitigation (regulating the import of vehicles, lowering trade barriers )",5,Market mechanisms to meet part of NDC target,3,Sustainable Energy Plan; National Energy Policy; Electricity Supply Services Act; National Utility Regulatory Commission Bill; National Energy Efficiency Labelling Standards,3,"Other co-benefits: environmental protection, foreign exchange savings, human health benefits"
